Playlist A, Playlist B, Feature, Cosine Similarity
7,10,Key,0.43
7,11,Key,0.16
7,12,Key,0.30
8,9,Key,0.27
8,10,Key,0.38
8,11,Key,0.50
8,12,Key,0.42
9,10,Key,0.61
9,11,Key,0.25
9,12,Key,0.52
10,11,Key,0.24
10,12,Key,0.52
11,12,Key,0.42
0,1,Loudness,0.67
0,2,Loudness,0.56
0,3,Loudness,0.74
0,4,Loudness,0.70
0,5,Loudness,0.59
0,6,Loudness,0.64
0,7,Loudness,0.53
0,8,Loudness,0.51
0,9,Loudness,0.79
0,10,Loudness,0.63
0,11,Loudness,0.52
0,12,Loudness,0.81
1,2,Loudness,0.58
1,3,Loudness,0.77
1,4,Loudness,0.80
1,5,Loudness,0.61
1,6,Loudness,0.66
1,7,Loudness,0.36
1,8,Loudness,0.51
1,9,Loudness,0.57
1,10,Loudness,0.47
1,11,Loudness,0.55
1,12,Loudness,0.70
2,3,Loudness,0.60
2,4,Loudness,0.70
2,5,Loudness,0.87
2,6,Loudness,0.84
2,7,Loudness,0.30
2,8,Loudness,0.78
2,9,Loudness,0.45
2,10,Loudness,0.41
2,11,Loudness,0.78
2,12,Loudness,0.52
3,4,Loudness,0.81
3,5,Loudness,0.63
3,6,Loudness,0.70
3,7,Loudness,0.41
3,8,Loudness,0.57
3,9,Loudness,0.65
3,10,Loudness,0.53
3,11,Loudness,0.54
3,12,Loudness,0.79
4,5,Loudness,0.76
4,6,Loudness,0.78
4,7,Loudness,0.37
4,8,Loudness,0.64
4,9,Loudness,0.59
4,10,Loudness,0.50
4,11,Loudness,0.62
4,12,Loudness,0.71
5,6,Loudness,0.88
5,7,Loudness,0.32
5,8,Loudness,0.81
5,9,Loudness,0.46
5,10,Loudness,0.43
5,11,Loudness,0.82
5,12,Loudness,0.56
6,7,Loudness,0.33
6,8,Loudness,0.78
6,9,Loudness,0.48
6,10,Loudness,0.45
6,11,Loudness,0.78
6,12,Loudness,0.58
7,8,Loudness,0.29
7,9,Loudness,0.59
7,10,Loudness,0.60
7,11,Loudness,0.28
7,12,Loudness,0.47
8,9,Loudness,0.38
8,10,Loudness,0.38
8,11,Loudness,0.74
8,12,Loudness,0.52
9,10,Loudness,0.73
9,11,Loudness,0.34
9,12,Loudness,0.72
10,11,Loudness,0.36
10,12,Loudness,0.60
11,12,Loudness,0.46
0,1,Mode,0.56
0,2,Mode,0.50
0,3,Mode,0.59
0,4,Mode,0.59
0,5,Mode,0.54
0,6,Mode,0.44
0,7,Mode,0.42
0,8,Mode,0.41
0,9,Mode,0.58
0,10,Mode,0.59
0,11,Mode,0.45
0,12,Mode,0.62
1,2,Mode,0.52
1,3,Mode,0.59
1,4,Mode,0.55
1,5,Mode,0.68
1,6,Mode,0.59
1,7,Mode,0.28
1,8,Mode,0.45
1,9,Mode,0.38
1,10,Mode,0.43
1,11,Mode,0.53
1,12,Mode,0.48
2,3,Mode,0.43
2,4,Mode,0.56
2,5,Mode,0.73
2,6,Mode,0.50
2,7,Mode,0.25
2,8,Mode,0.59
2,9,Mode,0.32
2,10,Mode,0.30
2,11,Mode,0.60
2,12,Mode,0.39
3,4,Mode,0.50
3,5,Mode,0.54
3,6,Mode,0.44
3,7,Mode,0.25
3,8,Mode,0.46
3,9,Mode,0.40
3,10,Mode,0.42
3,11,Mode,0.49
3,12,Mode,0.53
