Playlist A, Playlist B, Feature, Cosine Similarity
4,7,Key,0.38
4,8,Key,0.50
4,9,Key,0.43
4,10,Key,0.32
4,11,Key,0.34
4,12,Key,0.40
4,13,Key,0.37
4,14,Key,0.43
4,15,Key,0.23
5,6,Key,0.58
5,7,Key,0.42
5,8,Key,0.23
5,9,Key,0.40
5,10,Key,0.76
5,11,Key,0.47
5,12,Key,0.37
5,13,Key,0.33
5,14,Key,0.64
5,15,Key,0.36
6,7,Key,0.52
6,8,Key,0.29
6,9,Key,0.30
6,10,Key,0.64
6,11,Key,0.63
6,12,Key,0.53
6,13,Key,0.45
6,14,Key,0.58
6,15,Key,0.46
7,8,Key,0.47
7,9,Key,0.48
7,10,Key,0.56
7,11,Key,0.46
7,12,Key,0.58
7,13,Key,0.68
7,14,Key,0.63
7,15,Key,0.67
8,9,Key,0.51
8,10,Key,0.44
8,11,Key,0.42
8,12,Key,0.51
8,13,Key,0.39
8,14,Key,0.44
8,15,Key,0.39
9,10,Key,0.40
9,11,Key,0.44
9,12,Key,0.65
9,13,Key,0.54
9,14,Key,0.68
9,15,Key,0.46
10,11,Key,0.79
10,12,Key,0.57
10,13,Key,0.39
10,14,Key,0.62
10,15,Key,0.42
11,12,Key,0.66
11,13,Key,0.44
11,14,Key,0.53
11,15,Key,0.34
12,13,Key,0.57
12,14,Key,0.76
12,15,Key,0.30
13,14,Key,0.67
13,15,Key,0.61
14,15,Key,0.46
0,1,Loudness,0.52
0,2,Loudness,0.43
0,3,Loudness,0.86
0,4,Loudness,0.49
0,5,Loudness,0.43
0,6,Loudness,0.51
0,7,Loudness,0.76
0,8,Loudness,0.71
0,9,Loudness,0.79
0,10,Loudness,0.56
0,11,Loudness,0.65
0,12,Loudness,0.83
0,13,Loudness,0.76
0,14,Loudness,0.71
0,15,Loudness,0.74
1,2,Loudness,0.30
1,3,Loudness,0.57
1,4,Loudness,0.89
1,5,Loudness,0.28
1,6,Loudness,0.35
1,7,Loudness,0.46
1,8,Loudness,0.55
1,9,Loudness,0.44
1,10,Loudness,0.33
1,11,Loudness,0.39
1,12,Loudness,0.50
1,13,Loudness,0.46
1,14,Loudness,0.43
1,15,Loudness,0.43
2,3,Loudness,0.46
2,4,Loudness,0.22
2,5,Loudness,0.78
2,6,Loudness,0.74
2,7,Loudness,0.55
2,8,Loudness,0.31
2,9,Loudness,0.44
2,10,Loudness,0.52
2,11,Loudness,0.68
2,12,Loudness,0.57
2,13,Loudness,0.60
2,14,Loudness,0.28
2,15,Loudness,0.56
3,4,Loudness,0.55
3,5,Loudness,0.50
3,6,Loudness,0.57
3,7,Loudness,0.73
3,8,Loudness,0.81
3,9,Loudness,0.74
3,10,Loudness,0.59
3,11,Loudness,0.65
3,12,Loudness,0.76
3,13,Loudness,0.73
3,14,Loudness,0.65
3,15,Loudness,0.74
4,5,Loudness,0.23
4,6,Loudness,0.28
4,7,Loudness,0.41
4,8,Loudness,0.56
4,9,Loudness,0.41
4,10,Loudness,0.28
4,11,Loudness,0.33
4,12,Loudness,0.46
4,13,Loudness,0.43
4,14,Loudness,0.43
4,15,Loudness,0.36
5,6,Loudness,0.75
5,7,Loudness,0.52
5,8,Loudness,0.33
5,9,Loudness,0.49
5,10,Loudness,0.62
5,11,Loudness,0.72
5,12,Loudness,0.51
5,13,Loudness,0.61
5,14,Loudness,0.33
5,15,Loudness,0.61
6,7,Loudness,0.67
6,8,Loudness,0.46
6,9,Loudness,0.56
6,10,Loudness,0.78
6,11,Loudness,0.80
6,12,Loudness,0.63
6,13,Loudness,0.65
6,14,Loudness,0.41
6,15,Loudness,0.69
7,8,Loudness,0.58
7,9,Loudness,0.81
7,10,Loudness,0.69
7,11,Loudness,0.72
7,12,Loudness,0.82
7,13,Loudness,0.83
7,14,Loudness,0.71
7,15,Loudness,0.83
8,9,Loudness,0.55
8,10,Loudness,0.50
8,11,Loudness,0.53
8,12,Loudness,0.59
8,13,Loudness,0.55
8,14,Loudness,0.54
8,15,Loudness,0.53
9,10,Loudness,0.61
9,11,Loudness,0.66
9,12,Loudness,0.79
9,13,Loudness,0.75
9,14,Loudness,0.80
9,15,Loudness,0.74
10,11,Loudness,0.81
10,12,Loudness,0.59
10,13,Loudness,0.65
10,14,Loudness,0.43
10,15,Loudness,0.70
11,12,Loudness,0.67
11,13,Loudness,0.77
11,14,Loudness,0.56
11,15,Loudness,0.85
12,13,Loudness,0.85
12,14,Loudness,0.73
12,15,Loudness,0.76
13,14,Loudness,0.75
13,15,Loudness,0.78
14,15,Loudness,0.61
0,1,Mode,0.37
0,2,Mode,0.00
0,3,Mode,0.44
0,4,Mode,0.24
0,5,Mode,0.25
0,6,Mode,0.24
0,7,Mode,0.24
0,8,Mode,0.37
0,9,Mode,0.40
0,10,Mode,0.34
0,11,Mode,0.18
0,12,Mode,0.38
0,13,Mode,0.51
0,14,Mode,0.37
0,15,Mode,0.30
1,2,Mode,0.17
1,3,Mode,0.45
1,4,Mode,0.55
1,5,Mode,0.14
1,6,Mode,0.17
1,7,Mode,0.22
1,8,Mode,0.42
1,9,Mode,0.31
1,10,Mode,0.27
1,11,Mode,0.10
1,12,Mode,0.29
1,13,Mode,0.32
1,14,Mode,0.31
1,15,Mode,0.16
2,3,Mode,0.28
2,4,Mode,0.11
2,5,Mode,0.27
2,6,Mode,0.25
2,7,Mode,0.19
2,8,Mode,0.26
2,9,Mode,0.37
2,10,Mode,0.35
2,11,Mode,0.29
2,12,Mode,0.17
2,13,Mode,0.00
2,14,Mode,0.33
2,15,Mode,0.00
3,4,Mode,0.33
3,5,Mode,0.37
3,6,Mode,0.21
3,7,Mode,0.26
3,8,Mode,0.51
3,9,Mode,0.46
3,10,Mode,0.39
3,11,Mode,0.24
3,12,Mode,0.48
3,13,Mode,0.41
3,14,Mode,0.60
3,15,Mode,0.26
4,5,Mode,0.06
4,6,Mode,0.16
4,7,Mode,0.16
4,8,Mode,0.28
4,9,Mode,0.24
4,10,Mode,0.15
4,11,Mode,0.19
4,12,Mode,0.18
4,13,Mode,0.13
4,14,Mode,0.22
4,15,Mode,0.07
5,6,Mode,0.40
5,7,Mode,0.30
5,8,Mode,0.28
5,9,Mode,0.39
5,10,Mode,0.66
5,11,Mode,0.15
5,12,Mode,0.46
5,13,Mode,0.47
5,14,Mode,0.45
5,15,Mode,0.17
6,7,Mode,0.47
6,8,Mode,0.33
6,9,Mode,0.27
6,10,Mode,0.71
6,11,Mode,0.29
6,12,Mode,0.26
6,13,Mode,0.37
6,14,Mode,0.25
6,15,Mode,0.16
7,8,Mode,0.35
7,9,Mode,0.41
7,10,Mode,0.53
7,11,Mode,0.33
7,12,Mode,0.32
7,13,Mode,0.50
7,14,Mode,0.44
7,15,Mode,0.24
8,9,Mode,0.48
8,10,Mode,0.37
8,11,Mode,0.15
8,12,Mode,0.45
8,13,Mode,0.39
8,14,Mode,0.39
8,15,Mode,0.17
9,10,Mode,0.45
9,11,Mode,0.32
9,12,Mode,0.50
9,13,Mode,0.54
9,14,Mode,0.61
9,15,Mode,0.12
10,11,Mode,0.41
10,12,Mode,0.55
10,13,Mode,0.57
10,14,Mode,0.53
10,15,Mode,0.34
11,12,Mode,0.20
11,13,Mode,0.26
11,14,Mode,0.38
11,15,Mode,0.37
12,13,Mode,0.56
12,14,Mode,0.63
12,15,Mode,0.00
13,14,Mode,0.59
13,15,Mode,0.37
14,15,Mode,0.32
0,1,Speechiness,0.40
0,2,Speechiness,0.48
0,3,Speechiness,0.71
0,4,Speechiness,0.59
0,5,Speechiness,0.45
0,6,Speechiness,0.48
0,7,Speechiness,0.49
0,8,Speechiness,0.63
0,9,Speechiness,0.54
0,10,Speechiness,0.44
0,11,Speechiness,0.65
0,12,Speechiness,0.70
0,13,Speechiness,0.62
0,14,Speechiness,0.76
0,15,Speechiness,0.72
1,2,Speechiness,0.25
1,3,Speechiness,0.44
1,4,Speechiness,0.71
1,5,Speechiness,0.19
1,6,Speechiness,0.20
1,7,Speechiness,0.19
1,8,Speechiness,0.35
1,9,Speechiness,0.24
1,10,Speechiness,0.21
1,11,Speechiness,0.31
1,12,Speechiness,0.41
1,13,Speechiness,0.29
1,14,Speechiness,0.38
1,15,Speechiness,0.35
2,3,Speechiness,0.30
2,4,Speechiness,0.28
2,5,Speechiness,0.83
2,6,Speechiness,0.61
2,7,Speechiness,0.47
2,8,Speechiness,0.40
2,9,Speechiness,0.25
2,10,Speechiness,0.48
2,11,Speechiness,0.60
2,12,Speechiness,0.50
