Playlist A, Playlist B, Feature, Cosine Similarity
4,5,Acousticness,0.47
4,6,Acousticness,0.15
4,7,Acousticness,0.09
4,8,Acousticness,0.33
4,9,Acousticness,0.18
5,6,Acousticness,0.33
5,7,Acousticness,0.19
5,8,Acousticness,0.68
5,9,Acousticness,0.37
6,7,Acousticness,0.60
6,8,Acousticness,0.49
6,9,Acousticness,0.50
7,8,Acousticness,0.29
7,9,Acousticness,0.33
8,9,Acousticness,0.54
0,1,Instrumentalness,0.74
0,2,Instrumentalness,0.59
0,3,Instrumentalness,0.93
0,4,Instrumentalness,0.16
0,5,Instrumentalness,0.30
0,6,Instrumentalness,0.94
0,7,Instrumentalness,0.56
0,8,Instrumentalness,0.54
0,9,Instrumentalness,0.52
1,2,Instrumentalness,0.45
1,3,Instrumentalness,0.69
1,4,Instrumentalness,0.23
1,5,Instrumentalness,0.43
1,6,Instrumentalness,0.70
1,7,Instrumentalness,0.43
1,8,Instrumentalness,0.71
1,9,Instrumentalness,0.62
2,3,Instrumentalness,0.64
2,4,Instrumentalness,0.09
2,5,Instrumentalness,0.21
2,6,Instrumentalness,0.65
2,7,Instrumentalness,0.95
2,8,Instrumentalness,0.32
2,9,Instrumentalness,0.31
3,4,Instrumentalness,0.15
3,5,Instrumentalness,0.26
3,6,Instrumentalness,0.95
3,7,Instrumentalness,0.61
3,8,Instrumentalness,0.51
3,9,Instrumentalness,0.47
4,5,Instrumentalness,0.46
4,6,Instrumentalness,0.15
4,7,Instrumentalness,0.09
4,8,Instrumentalness,0.32
4,9,Instrumentalness,0.16
5,6,Instrumentalness,0.26
5,7,Instrumentalness,0.19
5,8,Instrumentalness,0.62
5,9,Instrumentalness,0.29
6,7,Instrumentalness,0.62
6,8,Instrumentalness,0.51
6,9,Instrumentalness,0.46
7,8,Instrumentalness,0.31
7,9,Instrumentalness,0.36
8,9,Instrumentalness,0.48
0,1,Liveness,0.63
0,2,Liveness,0.58
0,3,Liveness,0.87
0,4,Liveness,0.19
0,5,Liveness,0.30
0,6,Liveness,0.74
0,7,Liveness,0.62
0,8,Liveness,0.37
0,9,Liveness,0.50
1,2,Liveness,0.41
1,3,Liveness,0.62
1,4,Liveness,0.24
1,5,Liveness,0.38
1,6,Liveness,0.51
1,7,Liveness,0.41
1,8,Liveness,0.47
1,9,Liveness,0.67
2,3,Liveness,0.57
2,4,Liveness,0.10
2,5,Liveness,0.14
2,6,Liveness,0.38
2,7,Liveness,0.88
2,8,Liveness,0.18
2,9,Liveness,0.31
3,4,Liveness,0.19
3,5,Liveness,0.28
3,6,Liveness,0.79
3,7,Liveness,0.59
3,8,Liveness,0.32
3,9,Liveness,0.55
4,5,Liveness,0.37
4,6,Liveness,0.16
4,7,Liveness,0.08
4,8,Liveness,0.25
4,9,Liveness,0.12
5,6,Liveness,0.24
5,7,Liveness,0.14
5,8,Liveness,0.45
5,9,Liveness,0.24
6,7,Liveness,0.38
6,8,Liveness,0.28
6,9,Liveness,0.34
7,8,Liveness,0.18
7,9,Liveness,0.38
8,9,Liveness,0.32
0,1,Valence,0.34
0,2,Valence,0.43
0,3,Valence,0.88
0,4,Valence,0.09
0,5,Valence,0.18
0,6,Valence,0.62
0,7,Valence,0.61
0,8,Valence,0.20
0,9,Valence,0.52
1,2,Valence,0.16
1,3,Valence,0.38
1,4,Valence,0.08
1,5,Valence,0.21
1,6,Valence,0.15
1,7,Valence,0.26
1,8,Valence,0.19
1,9,Valence,0.24
2,3,Valence,0.47
2,4,Valence,0.02
2,5,Valence,0.13
2,6,Valence,0.39
2,7,Valence,0.38
2,8,Valence,0.09
2,9,Valence,0.24
3,4,Valence,0.08
3,5,Valence,0.21
3,6,Valence,0.52
3,7,Valence,0.47
3,8,Valence,0.20
3,9,Valence,0.52
4,5,Valence,0.21
4,6,Valence,0.04
4,7,Valence,0.02
4,8,Valence,0.16
4,9,Valence,0.06
5,6,Valence,0.13
5,7,Valence,0.09
5,8,Valence,0.26
5,9,Valence,0.16
6,7,Valence,0.34
6,8,Valence,0.12
6,9,Valence,0.47
7,8,Valence,0.09
7,9,Valence,0.22
8,9,Valence,0.19
0,1,Tempo,0.60
0,2,Tempo,0.57
0,3,Tempo,0.88
0,4,Tempo,0.17
0,5,Tempo,0.33
0,6,Tempo,0.84
0,7,Tempo,0.52
0,8,Tempo,0.54
0,9,Tempo,0.61
1,2,Tempo,0.36
1,3,Tempo,0.60
1,4,Tempo,0.23
1,5,Tempo,0.45
1,6,Tempo,0.58
1,7,Tempo,0.34
1,8,Tempo,0.70
1,9,Tempo,0.73
2,3,Tempo,0.64
2,4,Tempo,0.09
2,5,Tempo,0.23
2,6,Tempo,0.56
2,7,Tempo,0.84
2,8,Tempo,0.35
2,9,Tempo,0.42
3,4,Tempo,0.16
3,5,Tempo,0.32
3,6,Tempo,0.87
3,7,Tempo,0.54
3,8,Tempo,0.51
3,9,Tempo,0.54
4,5,Tempo,0.46
4,6,Tempo,0.15
4,7,Tempo,0.08
4,8,Tempo,0.31
4,9,Tempo,0.18
5,6,Tempo,0.31
5,7,Tempo,0.19
5,8,Tempo,0.60
5,9,Tempo,0.35
6,7,Tempo,0.53
6,8,Tempo,0.47
6,9,Tempo,0.56
7,8,Tempo,0.32
7,9,Tempo,0.38
8,9,Tempo,0.58
0,1,Time Signature,0.66
0,2,Time Signature,0.49
0,3,Time Signature,0.89
0,4,Time Signature,0.16
0,5,Time Signature,0.35
0,6,Time Signature,0.90
0,7,Time Signature,0.55
0,8,Time Signature,0.47
0,9,Time Signature,0.60
1,2,Time Signature,0.41
1,3,Time Signature,0.61
1,4,Time Signature,0.23
1,5,Time Signature,0.49
1,6,Time Signature,0.63
1,7,Time Signature,0.41
1,8,Time Signature,0.71
1,9,Time Signature,0.73
2,3,Time Signature,0.61
2,4,Time Signature,0.10
2,5,Time Signature,0.22
2,6,Time Signature,0.61
2,7,Time Signature,0.75
2,8,Time Signature,0.28
2,9,Time Signature,0.34
3,4,Time Signature,0.15
3,5,Time Signature,0.34
3,6,Time Signature,0.95
3,7,Time Signature,0.57
3,8,Time Signature,0.44
3,9,Time Signature,0.54
4,5,Time Signature,0.47
4,6,Time Signature,0.16
4,7,Time Signature,0.09
4,8,Time Signature,0.32
4,9,Time Signature,0.18
5,6,Time Signature,0.35
5,7,Time Signature,0.19
5,8,Time Signature,0.64
5,9,Time Signature,0.38
6,7,Time Signature,0.55
6,8,Time Signature,0.47
6,9,Time Signature,0.55
7,8,Time Signature,0.29
7,9,Time Signature,0.37
8,9,Time Signature,0.50
