artists,occurrence,freqency
"Eddie Murphy",1,0.076923
"Glee Cast;Gwyneth Paltrow",1,0.076923
"Dove Cameron",1,0.076923
"Barbie;Mattel",1,0.076923
"Lindana",1,0.076923
"Kate Alexa",1,0.076923
"Maggie Rogers",1,0.076923
"Myra",1,0.076923
"Mark Ronson;Andrew Wyatt",1,0.076923
"Brandi Carlile;Catherine Carlile",1,0.076923
"Lesley Gore",1,0.076923
"The Bangles;Susanna Hoffs",1,0.076923
"salem ilese",1,0.076923
"Hey Monday",1,0.076923
"PinkPantheress;Zara Larsson",1,0.076923
"dodie",1,0.076923
"Juliana Chahayed",1,0.076923
"Billie Eilish,Khalid",1,0.076923
"Aqua,Tiësto",1,0.076923
"FIFTY FIFTY",1,0.076923
"Zara Larsson",5,0.384615
"TWICE",1,0.076923
"Madonna,Justin Timberlake,Timbaland",1,0.076923
"Little Mix,mgk",1,0.076923
"Taylor Swift,ELVIRA",1,0.076923
"Kylie Minogue,Olly Alexander (Years & Years)",1,0.076923
"Kris Kross Amsterdam,Sofía Reyes,Tinie Tempah",1,0.076923
"Lady Gaga,Colby O'Donis",1,0.076923
"Britney Spears,Madonna",1,0.076923
"Becky G",1,0.076923
"IVE",1,0.076923
