artists,occurrence,freqency
"Ayla D'lyla,Miss Madeline",1,0.022727
"Studio Killers",1,0.022727
"The Aquadolls",1,0.022727
"Lily Allen",2,0.045455
"That Kid",1,0.022727
"Zella Day",3,0.068182
"Kylie Minogue",14,0.318182
"Coco & Clair Clair",5,0.113636
"FLETCHER,Hayley Kiyoko",1,0.022727
"Selena Gomez,A$AP Rocky",1,0.022727
"Rina Sawayama,Bree Runway",1,0.022727
"Sky Ferreira",4,0.090909
"Sohodolls",2,0.045455
"Samantha Ronson",1,0.022727
"Cute Is What We Aim For",1,0.022727
"mgk,WILLOW",1,0.022727
"Caroline Loveglow",1,0.022727
"Men I Trust",1,0.022727
"Lorde",2,0.045455
"The Weeknd,Lana Del Rey",1,0.022727
"Play",2,0.045455
"SIRLIFIS MG",1,0.022727
"SirLofi",1,0.022727
"Yumi Zouma",1,0.022727
"Geowulf",1,0.022727
"Alice Phoebe Lou",1,0.022727
"Caroline Rose",1,0.022727
"CHROMANCE,Marcus Layton",1,0.022727
"Phoebe Ryan",1,0.022727
"L'Impératrice",7,0.159091
"Tessa Violet",2,0.045455
"Grace Phipps",3,0.068182
"The Orion Experience,ORION,Linda XO",1,0.022727
"Tyga,Doja Cat",1,0.022727
"Jack Harlow",2,0.045455
"MARINA,Beach Bunny",1,0.022727
"EASHA",1,0.022727
"Blu DeTiger",2,0.045455
"TOPS",1,0.022727
"Zendaya",1,0.022727
"MIKA,Ariana Grande",1,0.022727
"Boys World",1,0.022727
"Chelsea Collins",1,0.022727
"Hayley Kiyoko",2,0.045455
"Jesse McCartney",1,0.022727
"DCS Lefty,Teddi Gold",1,0.022727
"Call Me Loop",1,0.022727
"Lindsay Lohan",3,0.068182
"Selena Gomez,Gucci Mane",1,0.022727
"Poppy",5,0.113636
"EMELINE",3,0.068182
"Gorillaz",3,0.068182
"Alice Chater",1,0.022727
"The Click Five",3,0.068182
"MIXIE",2,0.045455
"Halle Abadi",1,0.022727
"Em Beihold",1,0.022727
"Amaarae,Kali Uchis,MOLIY",1,0.022727
"Raffaella",2,0.045455
"Cascada",5,0.113636
"Josie and the Pussycats",1,0.022727
"Chrissy Chlapecka",11,0.250000
"Magdalena Bay",1,0.022727
"The Band CAMINO",1,0.022727
"April Start",1,0.022727
"PinkPantheress,Ice Spice",5,0.113636
"KAYE",1,0.022727
"Snow Wife",2,0.045455
"Virgin Miri",2,0.045455
"City Girl,tiffi",1,0.022727
"Holy Molly",1,0.022727
"Reneé Rapp,Megan Thee Stallion",2,0.045455
"Sia,Kylie Minogue",1,0.022727
"Suki Waterhouse",1,0.022727
"Doja Cat;SZA",1,0.022727
"Nancy Sinatra",2,0.045455
"The Muffs",1,0.022727
"Britney Spears;Tinashe",1,0.022727
"Ashley O",3,0.068182
"Gwen Stefani;Eve",1,0.022727
"Jill Sobule",1,0.022727
