artists,occurrence,freqency
"Don Omar,Lucenzo",3,0.012658
"Calvin Harris,Florence Welch",2,0.008439
"Meek Mill,Drake",3,0.012658
"Jack Harlow",9,0.037975
"Lupe Fiasco",4,0.016878
"Rednex",1,0.004219
"Sammy Adams,B.o.B",1,0.004219
"DJ Khaled",1,0.004219
"Waterfront Wranglers",1,0.004219
"¥$,Kanye West,Ty Dolla $ign,Rich The Kid,Playboi Carti",2,0.008439
"6ix9ine,Nicki Minaj,Murda Beatz",1,0.004219
"Natasha Bedingfield",20,0.084388
"T.I.,Rihanna",5,0.021097
"Kanye West,Jamie Foxx",4,0.016878
"Pitbull,John Ryan",5,0.021097
"Sean Paul,Dua Lipa",5,0.021097
"Black Eyed Peas,J Balvin",2,0.008439
"Master KG,Nomcebo Zikode",1,0.004219
"Charly Black,Daddy Yankee",1,0.004219
"The Stickmen Project,AR/CO",1,0.004219
"Nathan Dawe,Ella Henderson",1,0.004219
"Alan Walker,Dash Berlin,Vikkstar",1,0.004219
"J Balvin,Maria Becerra",1,0.004219
"Badger,Natasha Bedingfield",2,0.008439
"Bakermat",2,0.008439
"TECH IT DEEP",1,0.004219
"ANOTR,Abel Balder",1,0.004219
"Zac Brown Band",6,0.025316
"Luke Combs",13,0.054852
"Luke Combs,Brooks & Dunn",1,0.004219
"Luke Bryan",10,0.042194
"Central Cee",2,0.008439
"Zach Bryan",40,0.168776
"Morgan Wallen",13,0.054852
"Barrett Wilbert Weed,Erika Henningsen",1,0.004219
"Sam Smith,Kim Petras",5,0.021097
"cupcakKe",3,0.012658
"LIZ",1,0.004219
"Baby Tate",1,0.004219
"Annie Murphy",1,0.004219
"Chrissy Chlapecka",11,0.046414
"Toni Basil",2,0.008439
"Bonnie Tyler",5,0.021097
"Ghost",3,0.012658
"Scene Queen,MOTHICA",1,0.004219
"KiNG MALA",1,0.004219
"Barrett Wilbert Weed,Erika Henningsen,Original Broadway Cast of Mean Girls",1,0.004219
"Ashnikko,Princess Nokia",3,0.012658
"Grey Henson,Barrett Wilbert Weed,Taylor Louderman,Ashley Park,Kate Rockwell,Erika Henningsen",1,0.004219
"SIX",3,0.012658
"Snow Wife",2,0.008439
"Devon Cole",2,0.008439
"Paris Paloma",4,0.016878
"SIX,Christina Modestou",1,0.004219
"SIX,Aimie Atkinson",1,0.004219
