artists,occurrence,freqency
"Three 6 Mafia",1,0.066667
"SZA",3,0.200000
"Nelly Furtado",3,0.200000
"Gwen Stefani,Akon",2,0.133333
"Justin Timberlake",3,0.200000
"Justin Timberlake,T.I.",1,0.066667
"SZA,Calvin Harris,Funk Wav",1,0.066667
"Justin Timberlake,Timbaland",2,0.133333
"The Weeknd,Ariana Grande",1,0.066667
"Nelly",3,0.200000
"Rihanna,JAY-Z",2,0.133333
"Owl City,Carly Rae Jepsen",1,0.066667
"Shakira,Wyclef Jean",4,0.266667
"Pitbull",4,0.266667
"Sean Paul",7,0.466667
"Nina Sky,Jabba",1,0.066667
"Daddy Yankee",6,0.400000
"Pitbull,T-Pain",2,0.133333
"David Guetta,Akon",3,0.200000
"Cobra Starship,Sabi",2,0.133333
"N.O.R.E.,Daddy Yankee,Nina Sky,Gemstar,Big Mato",1,0.066667
"Pitbull,Lil Jon",1,0.066667
"Timbaland,Keri Hilson,D.O.E.",3,0.200000
"David Guetta,Flo Rida,Nicki Minaj",3,0.200000
"Timbaland,Justin Timberlake,Nelly Furtado",1,0.066667
"Rihanna,Elephant Man",1,0.066667
"Flo Rida,David Guetta",3,0.200000
"Mac Miller,Empire Of The Sun",2,0.133333
"Amanda Seyfried,Ashley Lilley,Rachel McDowall",3,0.200000
"Cast of Mamma Mia! The Movie,Philip Michael,Christine Baranski,Julie Walters,Stellan Skarsgård",2,0.133333
"Dominic Cooper,Amanda Seyfried",1,0.066667
"Fergie,YG",1,0.066667
"Jennifer Lopez,Pitbull",2,0.133333
"will.i.am,Britney Spears",1,0.066667
"J. Cole",3,0.200000
"Rae Sremmurd",2,0.133333
"Soulja Boy,Sammie",2,0.133333
"Outkast",3,0.200000
"TLC",2,0.133333
"Destiny's Child",2,0.133333
"Lil Uzi Vert",3,0.200000
"Doja Cat,Rico Nasty",2,0.133333
"Flo Milli",3,0.200000
"JAY-Z,Alicia Keys",2,0.133333
"Carrie Underwood",3,0.200000
"Coi Leray,DJ Smallz 732",1,0.066667
"Ariana Grande",3,0.200000
"Bad Bunny,El Alfa",2,0.133333
"Bad Bunny,Chencho Corleone",2,0.133333
"Bad Bunny,JHAYCO",2,0.133333
"El Alfa,El Cherry Scom,CJ",1,0.066667
"Arcángel,Bad Bunny",1,0.066667
"J Balvin,Willy William",4,0.266667
"Cardi B,Bad Bunny,J Balvin",2,0.133333
"Enur,Natasja",2,0.133333
"Black Eyed Peas,Anitta,El Alfa",1,0.066667
"Farruko",3,0.200000
"Farruko,Victor Cardenas,Dj Adoni",1,0.066667
"Disclosure,Sam Smith",1,0.066667
"Calvin Harris",1,0.066667
"Ariana Grande,Doja Cat",1,0.066667
"Tove Lo,Oliver Nelson",1,0.066667
"FISHER",1,0.066667
"TELYKAST,One True God",1,0.066667
"Imanbek,BYOR",1,0.066667
"LF SYSTEM,David Guetta,Dyro",1,0.066667
"S1mba,DTG,Joel Corry",1,0.066667
"James Hype,Miggy Dela Rosa",1,0.066667
"Tom Santa,Nathan Dawe",1,0.066667
"Jazzy",1,0.066667
"Matt Sassari,CHRSTPHR",1,0.066667
"La Roux,GAMPER & DADONI",2,0.133333
"Musique Boutique,KeeJay Freak",2,0.133333
"Bee Gees",7,0.466667
"Earth, Wind & Fire",4,0.266667
"The 1975",2,0.133333
"Nelly Furtado,Timbaland",4,0.266667
"J Balvin,Skrillex",2,0.133333
"Sir Mix-A-Lot",1,0.066667
