tracks,occurrence,freqency
"Amelie",1,0.076923
"My Mother & I",1,0.076923
"Letter To An Old Poet",1,0.076923
"i'm worried it will always be you",1,0.076923
"things i wish you said",1,0.076923
"The Alcott (feat. Taylor Swift)",1,0.076923
"The End Of Love",1,0.076923
"Two people",1,0.076923
"Nobody Gets Me",1,0.076923
"i'll never fall in love with myself - demo",1,0.076923
"Goodnight",1,0.076923
"Mean It",1,0.076923
"Can't Help Falling in Love",1,0.076923
"the grudge",1,0.076923
"making the bed",1,0.076923
"Cassandra",1,0.076923
"I Hate It Here",1,0.076923
"Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes",1,0.076923
"History Of Man",1,0.076923
"mad woman",1,0.076923
"complex",1,0.076923
"Gave You I Gave You I",1,0.076923
"Lie To Girls",1,0.076923
"Did You Like Her In The Morning?",1,0.076923
"Giver / Taker",1,0.076923
"Killer + The Sound",1,0.076923
"WILDFLOWER",2,0.153846
"opposite",2,0.153846
"Supermodel (You Better Work)",2,0.153846
"Vogue",2,0.153846
"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)",1,0.076923
"Fergalicious",4,0.307692
"Milkshake - Radio Mix",1,0.076923
"Whine Up (feat. Elephant Man) - English Version",1,0.076923
"Diva",2,0.153846
"Dangerous Woman",2,0.153846
"Sexy And I Know It",1,0.076923
"Paparazzi",3,0.230769
"On The Floor - Radio Edit",1,0.076923
"Sweet but Psycho",1,0.076923
"Work Bitch",4,0.307692
"Crazy In Love (feat. JAY-Z)",2,0.153846
"You Don't Own Me (feat. G-Eazy)",1,0.076923
"Dancing With A Stranger (with Normani)",1,0.076923
"Pocketful of Sunshine",2,0.153846
"Me & My Girls",1,0.076923
"Sissy That Walk",1,0.076923
"Bad Girls",2,0.153846
"My Humps",2,0.153846
"Obsessed",5,0.384615
"Say My Name",2,0.153846
"Booty",1,0.076923
"Touch My Body",1,0.076923
"Believe",2,0.153846
"Hush Hush; Hush Hush / I Will Survive - Medley",1,0.076923
"It's Not Right but It's Okay - Thunderpuss Mix/Remastered: 2000",1,0.076923
"Bills, Bills, Bills",4,0.307692
"Let's Have A Kiki",1,0.076923
"Bodak Yellow",2,0.153846
"Cover Girl",2,0.153846
"75, Brazil Street - Original Mix",1,0.076923
"Brown Cow Stunning",1,0.076923
"Mr. Saxobeat",2,0.153846
"The Bomb! (These Sound Fall into My Mind) - Radio Edit",1,0.076923
"Espresso",2,0.153846
"yes, and?",1,0.076923
"Guess featuring billie eilish",1,0.076923
"Taste",1,0.076923
"Pink (From Barbie The Album)",1,0.076923
"HOT TO GO!",2,0.153846
"S&M",1,0.076923
"Finally",1,0.076923
"Nice Tights - Keenhouse Remix",1,0.076923
"Bloom",1,0.076923
"sweetener",1,0.076923
"Be Alright",1,0.076923
"Juice",2,0.153846
"successful",2,0.153846
"My My My!",1,0.076923
"All For You",1,0.076923
"Don't Start Now",2,0.153846
"Woman",4,0.307692
"SCOOP (feat. Doja Cat)",2,0.153846
"Formation",2,0.153846
"Like That (feat. Gucci Mane)",3,0.230769
"34+35",3,0.230769
"WAP (feat. Megan Thee Stallion)",2,0.153846
"Juicy",3,0.230769
"BO$$",3,0.230769
"Up",3,0.230769
"Bang Bang",3,0.230769
"Telephone",1,0.076923
"One Kiss (with Dua Lipa)",1,0.076923
"Lady Marmalade",1,0.076923
"Swish Swish",1,0.076923
"Bootylicious",2,0.153846
"Greedy",3,0.230769
"Applause",2,0.153846
"Children",1,0.076923
"I Am The Body Beautiful",1,0.076923
"the light is coming (feat. Nicki Minaj)",1,0.076923
"MEGATRON",1,0.076923
"In My Head",1,0.076923
"I'm Every Woman",2,0.153846
"Pump Up The Jam",1,0.076923
"Her",1,0.076923
"What Is Love - 7 Mix",1,0.076923
"Like This (feat. Eve)",3,0.230769
"Tambourine",2,0.153846
"Hallucinate",1,0.076923
"I Want It All",1,0.076923
"My Dilemma",1,0.076923
"Promiscuous",4,0.307692
"The Way I Are",1,0.076923
"What’s New",2,0.153846
"Need to Know",2,0.153846
"Money",2,0.153846
"Act Up",1,0.076923
"I Do (feat. SZA)",1,0.076923
"Bestie (feat. Kodak Black)",1,0.076923
"Sorry",1,0.076923
"Press",1,0.076923
"Pour It Up",1,0.076923
"Bitch Better Have My Money",1,0.076923
"Cash Shit (feat. DaBaby)",1,0.076923
"Feeling Myself",1,0.076923
"Partition",1,0.076923
"She Bad",1,0.076923
"7/11",1,0.076923
"Bartier Cardi (feat. 21 Savage)",1,0.076923
"Barbie Dreams",1,0.076923
"Sex With Me",1,0.076923
"MONOPOLY (with Victoria Monét)",1,0.076923
"Hold Up",1,0.076923
"No Scrubs",2,0.153846
"2 On (feat. ScHoolboy Q)",1,0.076923
"Boss Ass Bitch",1,0.076923
"CRZY",1,0.076923
"Get Ur Freak On",1,0.076923
"Jumpin', Jumpin'",2,0.153846
"Love Galore (feat. Travis Scott)",1,0.076923
"Confident",2,0.153846
"bad guy",1,0.076923
"IDGAF",1,0.076923
"Hurts Like Hell (feat. Offset)",1,0.076923
"I Like That",1,0.076923
"Look At Her Now",1,0.076923
"Queen's Speech 4",1,0.076923
"Really Don't Care",1,0.076923
"I Bring Me",1,0.076923
"Who's That Girl?",1,0.076923
"Paper Planes",1,0.076923
"Pretty Girl",2,0.153846
"6 Inch (feat. The Weeknd)",1,0.076923
"***Flawless (feat. Chimamanda Ngozi Adichie)",1,0.076923
"Flawless Remix (feat. Nicki Minaj)",1,0.076923
"Desperado",1,0.076923
"Imagination",1,0.076923
"There For You - From “Star Season 2",1,0.076923
"Break the Rules",1,0.076923
"More Than A Woman",2,0.153846
"Tia Tamera (feat. Rico Nasty)",1,0.076923
"bad idea",1,0.076923
"I'm Dat Chick",1,0.076923
"I Like It",1,0.076923
"Lemon - Edit",1,0.076923
"Please Me",1,0.076923
"Be Careful",1,0.076923
"Bed (feat. Ariana Grande)",1,0.076923
"Single Ladies (Put a Ring on It)",1,0.076923
"Beef FloMix",2,0.153846
"In The Party",1,0.076923
"Sway With Me (with GALXARA)",1,0.076923
"Part Of Me",1,0.076923
"Savage",1,0.076923
"Thru Your Phone",1,0.076923
"positions",2,0.153846
"G.M.O. (Got My Own)",1,0.076923
"Motivation",3,0.230769
"Get Up (feat. Chamillionaire)",1,0.076923
"Thot Shit",1,0.076923
"Streets",1,0.076923
"pov",1,0.076923
"Get Into It (Yuh)",1,0.076923
"Rules",2,0.153846
"Cognac Queen",1,0.076923
"Freak",2,0.153846
"Good Days",1,0.076923
"Best Friend (feat. Doja Cat)",2,0.153846
"Slumber Party (feat. Princess Nokia)",1,0.076923
"Wild Side (feat. Cardi B)",1,0.076923
"Have Mercy",1,0.076923
"just like magic",1,0.076923
"MONTERO (Call Me By Your Name)",1,0.076923
"Rumors (feat. Cardi B)",1,0.076923
"Forgive Me",1,0.076923
"Wait a Minute!",1,0.076923
"INDUSTRY BABY (feat. Jack Harlow)",2,0.153846
"Ain't Shit",2,0.153846
"good 4 u",1,0.076923
"jealousy, jealousy",2,0.153846
"You Right",1,0.076923
"Case Of The Ex (Whatcha Gonna Do)",1,0.076923
"Let Me Blow Ya Mind",1,0.076923
"Hit 'Em Up Style (Oops!)",1,0.076923
"Creep",1,0.076923
"1, 2 Step (feat. Missy Elliott)",1,0.076923
"Where My Girls At",1,0.076923
"1 Thing",1,0.076923
"Goodies (feat. Petey Pablo)",1,0.076923
"It's Not Right But It's Okay",1,0.076923
"So Gone",1,0.076923
"We Need A Resolution",1,0.076923
"I Changed My Mind",1,0.076923
"Gimme What I Want",1,0.076923
"Buyou",1,0.076923
"He Wasn't Man Enough",1,0.076923
"Dip It Low",1,0.076923
"Oops (Oh My) [feat. Missy Elliott]",1,0.076923
"Oh (feat. Ludacris)",1,0.076923
"Bare Wit Me",1,0.076923
"Not Tonight (feat. Da Brat, Left Eye, Missy Misdemeanor Elliott and Angie Martinez) - Remix",1,0.076923
"Heard It All Before",1,0.076923
"1 Thing (feat. Eve) (feat. Eve)",1,0.076923
"Make It Hot (feat. Missy Elliott & Mocha)",1,0.076923
"Hot Boyz",1,0.076923
"Show Stopper",1,0.076923
"Crush on You",1,0.076923
"Gossip Folks (feat. Ludacris)",1,0.076923
"Sock It 2 Me (feat. Da Brat)",1,0.076923
"No More (Baby I'ma Do Right)",1,0.076923
"Shake It Off",1,0.076923
"Feelin Me Right Now",1,0.076923
"Bossy (feat. Too $hort)",1,0.076923
"She's a Bitch",1,0.076923
"If Your Girl Only Knew",1,0.076923
"U Got Nerve",1,0.076923
"Dick (feat. Doja Cat)",1,0.076923
"No Broken Hearts (feat. Nicki Minaj)",1,0.076923
"Pick Up Your Feelings",1,0.076923
"Radio",1,0.076923
"Bust Your Windows",1,0.076923
"R.E.M",1,0.076923
"Shotgun - From “Star” Season 3",1,0.076923
"Ex For A Reason (with JT from City Girls)",1,0.076923
"Alejandro",1,0.076923
"Leave (Get Out)",1,0.076923
"Bitter - Narration By Cardi B",1,0.076923
"Just Fine",1,0.076923
"Freaky Girls (feat. SZA)",1,0.076923
"Drip (feat. Migos)",1,0.076923
"Money Bag",1,0.076923
"Icy Chain",1,0.076923
"CAN'T TOUCH THIS",1,0.076923
"WHOLE LOTTA MONEY",1,0.076923
"Better Than Me",1,0.076923
"motive (with Doja Cat)",1,0.076923
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",1,0.076923
"Rodeo",1,0.076923
"Shisha",1,0.076923
"Body",2,0.153846
"Broken Clocks",1,0.076923
"No Love (with SZA)",1,0.076923
"Dat Right There (with Pharrell Williams & The Neptunes)",1,0.076923
"Conceited (There's Something About Remy)",1,0.076923
"Chun-Li",1,0.076923
"Tap In",1,0.076923
"There You Go",1,0.076923
"We Need A Resolution (feat. Timbaland)",1,0.076923
"Bundles (feat. Taylor Girlz)",1,0.076923
"My Type (feat. City Girls & Jhené Aiko) - Remix",1,0.076923
"fue mejor (feat. SZA)",1,0.076923
"Countdown",1,0.076923
"Smack A Bitch",1,0.076923
"Dead To Me",1,0.076923
"We Be On It",1,0.076923
"DOLLA SIGN SLIME (feat. Megan Thee Stallion)",1,0.076923
"Kickin’ Back",1,0.076923
"Therefore I Am",1,0.076923
"Come & Get It",1,0.076923
"So What",1,0.076923
"Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]",1,0.076923
"Woo",1,0.076923
"About Damn Time",3,0.230769
"Sweetest Pie",1,0.076923
"Reflection",1,0.076923
"Up And Down",1,0.076923
"Options (feat. JID)",1,0.076923
"Die Young",1,0.076923
"Pretty Girls Walk",1,0.076923
"CUFF IT",1,0.076923
"Everyday",1,0.076923
"HERE COMES THE hURRICANE LEGENDARY KATRINA",1,0.076923
"AMERICA HAS A PROBLEM (feat. Kendrick Lamar)",1,0.076923
"PURE/HONEY",1,0.076923
"Super Freaky Girl",2,0.153846
"Paint The Town Red",1,0.076923
"THE GIRLS - BLACKPINK THE GAME OST",1,0.076923
"Physical",1,0.076923
"shut up",1,0.076923
"Demons",1,0.076923
"Blah Blah Blah (feat. 3OH!3)",1,0.076923
"On My Mama",1,0.076923
"Rhythm Is A Dancer - 7 Edit",1,0.076923
"Be My Lover",1,0.076923
"Stereo Love - Radio Edit",1,0.076923
"Everybody (feat. Lil Uzi Vert)",1,0.076923
"Fever",1,0.076923
"Pink Friday Girls",1,0.076923
