playlist a,playlist b,common tracks, unique tracks
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_movie_vibes_2023",7,233
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","i_am_literally_oppenheimer__i_am_a_girl_",1,177
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_Ben",2,245
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","an_oppenheimer_playlist",1,146
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","now_i_am_become_death_the_destroyer_of_worlds_Marissa",3,184
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","studying_like_oppenheimer_MaxColannino",1,246
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_YirnickvanDijk",4,142
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","now_i_have_become_death_the_destroyer_of_words_EastPermianFederation",1,153
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_SUGABUSH",1,164
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","now_i_am_become_death_the_destroyer_of_worlds_Eren",0,196
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_Nadia",0,170
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_PetroAlexiou",8,139
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_raziqsafri",0,158
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_Dugger",0,172
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_Sorenjc",6,157
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_Athlaros",0,170
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_-_a_study_playlist",1,160
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","moon_wives",0,157
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_temple",0,146
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","battle_standard",0,165
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood__ominous",0,165
