tracks,occurrence,freqency
"Snow (Hey Oh)",2,0.200000
"By the Way",2,0.200000
"Hey Ya!",1,0.100000
"Paranoid - 2012 - Remaster",1,0.100000
"One Last Breath",3,0.300000
"Iris",7,0.700000
"Slide",2,0.200000
"Alive",1,0.100000
"The Boys Are Back In Town",1,0.100000
"Kashmir - Remaster",1,0.100000
"Jeremy",1,0.100000
"Even Flow",1,0.100000
"45",1,0.100000
"Adventure of a Lifetime",1,0.100000
"Timeless (feat. Playboi Carti)",1,0.100000
"223's (feat. 9lokknine)",1,0.100000
"Mixed Personalities (feat. Kanye West)",1,0.100000
"Ballin' (with Roddy Ricch)",1,0.100000
"The Box",1,0.100000
"through the late night",1,0.100000
"RAPSTAR",2,0.200000
"Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV)",1,0.100000
"Big Shot",1,0.100000
"Out Of My Hands",1,0.100000
"The Biggest Pt. 2",1,0.100000
"Like Dat",1,0.100000
"Big",1,0.100000
"Levels",1,0.100000
"Left Eye",1,0.100000
"She Will",1,0.100000
"Luv Bad Bitches",1,0.100000
"Under the Bridge",2,0.200000
"Dani California",2,0.200000
"Californication",2,0.200000
"Can't Stop",2,0.200000
"Otherside",1,0.100000
"My Hero",1,0.100000
"Learn to Fly",1,0.100000
"Scar Tissue",2,0.200000
"The Pretender",1,0.100000
"Everlong",2,0.200000
"Times Like These",1,0.100000
"Give It Away",1,0.100000
"Dark Necessities",1,0.100000
"More Than a Feeling",1,0.100000
"Walk",2,0.200000
"Welcome To The Jungle",2,0.200000
"Crazy Train",1,0.100000
"Ms. Jackson",4,0.400000
"Thunderstruck",1,0.100000
"In The Air Tonight - 2015 Remastered",1,0.100000
"All Of The Lights",2,0.200000
"POWER",2,0.200000
"Straight Outta Compton",1,0.100000
"Stronger",4,0.400000
"No Role Modelz",2,0.200000
"Trap Queen",2,0.200000
"Runaway",2,0.200000
"Father Stretch My Hands Pt. 1",1,0.100000
"Headlines",1,0.100000
"Bitch, Don’t Kill My Vibe",1,0.100000
"Swimming Pools (Drank)",1,0.100000
"Antidote",1,0.100000
"First Day Out",1,0.100000
"90210 (feat. Kacy Hill)",1,0.100000
"HUMBLE.",2,0.200000
"pick up the phone",1,0.100000
"Good Life",1,0.100000
